Dimension,Target Ratio,b,alpha,k,DW-PMAD Accuracy,PCA Accuracy,Better Method,Difference
50,0.9,100,5,15,0.8591111111111112,0.8673333333333333,pca,-0.008222222
50,0.9,50,5,3,0.8105555555555556,0.8288888888888889,pca,-0.018333333
50,0.9,50,5,6,0.8213888888888888,0.835,pca,-0.013611111
50,0.9,50,5,10,0.8463333333333334,0.8471666666666666,pca,-0.000833333
50,0.9,50,5,15,0.8631111111111112,0.8673333333333333,pca,-0.004222222
50,0.9,85,5,3,0.8122222222222222,0.8288888888888889,pca,-0.016666667
50,0.9,85,5,6,0.8277777777777777,0.835,pca,-0.007222222
50,0.9,85,5,15,0.8607777777777778,0.8673333333333333,pca,-0.006555556
50,0.9,85,25,3,0.81,0.8288888888888889,pca,-0.018888889
50,0.9,85,25,6,0.8244444444444444,0.835,pca,-0.010555556
50,0.9,85,25,10,0.8471666666666666,0.8471666666666666,pca,0
50,0.9,85,25,15,0.8613333333333333,0.8673333333333333,pca,-0.006
